topic_id,documents,median_relative_contribution,median_relative_margin,margin_below_005_fraction
321,270,0.30898538,0.10302808,0.27037036
322,259,0.2575208,0.06491491,0.3899614
323,240,0.23111892,0.046955403,0.5125
324,253,0.27423745,0.084319435,0.35573122
325,241,0.1974979,0.03389443,0.6721992
326,291,0.29757294,0.08195249,0.33676976
327,128,0.24025792,0.0722418,0.375
328,210,0.32833517,0.090982094,0.32857144
329,233,0.26650935,0.06835089,0.36051503
330,403,0.3460939,0.10932492,0.29528537
331,348,0.3156153,0.06642203,0.42528737
332,57,0.1834085,0.017492274,0.75438595
333,208,0.30259058,0.06874493,0.42307693
334,243,0.23592828,0.03349276,0.6255144
335,121,0.29263124,0.123965345,0.19008264
336,247,0.24860005,0.040312115,0.55870444
337,105,0.2898033,0.06263224,0.3809524
338,283,0.2565482,0.059199817,0.41342756
339,211,0.23414995,0.036129512,0.6066351
340,123,0.29493082,0.062261593,0.43089432
341,154,0.29839802,0.061508045,0.45454547
342,337,0.271306,0.063982874,0.43620178
343,189,0.2247455,0.04386641,0.55026454
344,216,0.18202084,0.02571183,0.712963
345,286,0.29845685,0.070348,0.3811189
346,167,0.2246886,0.03896108,0.5988024
347,254,0.22738689,0.048708577,0.507874
348,311,0.29760474,0.08962696,0.28938907
349,220,0.36355385,0.16295175,0.086363636
350,291,0.30699757,0.10916481,0.2749141
351,263,0.2508062,0.054661214,0.47528517
352,189,0.2749904,0.07343852,0.33333334
353,223,0.25281078,0.0574068,0.44394618
354,206,0.24516094,0.059333924,0.41747573
355,242,0.2276321,0.03957008,0.57024795
356,166,0.20943202,0.024708567,0.79518074
357,234,0.24182966,0.040165585,0.5854701
358,310,0.23181778,0.048151344,0.5064516
359,209,0.31017357,0.10005904,0.26794258
360,242,0.26038706,0.046670362,0.5206612
361,239,0.3248431,0.12839109,0.1380753
362,243,0.23325157,0.03818774,0.6090535
363,219,0.23223579,0.045482673,0.5296804
364,234,0.27820683,0.08180776,0.3803419
365,258,0.3042066,0.09488819,0.31007752
366,268,0.23326808,0.05100128,0.48507464
367,135,0.24487846,0.033992317,0.5703704
368,262,0.3053436,0.060014836,0.45801526
369,202,0.328067,0.14442265,0.13861386
370,229,0.25800675,0.07295685,0.34934497
371,236,0.28375876,0.05738681,0.44915253
372,203,0.37004802,0.18081497,0.12807882
373,163,0.24532124,0.04364036,0.5644172
374,233,0.30736807,0.08876004,0.31330472
375,205,0.21594147,0.043650467,0.5512195
376,171,0.3017754,0.10035862,0.25146198
377,176,0.33244252,0.072681084,0.3806818
378,118,0.21790065,0.053678654,0.43220338
379,237,0.21773475,0.04137869,0.56962025
380,247,0.26308942,0.05998751,0.42510122
381,217,0.24006896,0.0378386,0.56682026
382,201,0.29426298,0.10647068,0.19900498
383,210,0.26912075,0.052267876,0.4857143
384,186,0.23152578,0.03850846,0.62903225
385,167,0.2889861,0.12701125,0.23353294
386,164,0.24577935,0.06332582,0.40243903
387,133,0.23514442,0.032162946,0.6315789
388,218,0.27307057,0.099183336,0.25688073
389,124,0.27714258,0.09426224,0.36290324
390,320,0.3628681,0.14428619,0.190625
391,216,0.27007258,0.076993614,0.3611111
392,182,0.2301575,0.06520612,0.36813188
393,163,0.34647006,0.11486194,0.2638037
394,263,0.2928044,0.06973655,0.4296578
395,292,0.27237839,0.06412551,0.42465752
396,175,0.3045319,0.0721087,0.3942857
397,267,0.3246022,0.104486026,0.17977528
398,284,0.26900887,0.072333515,0.37676057
399,213,0.3433018,0.09621414,0.29107982
400,205,0.2489317,0.061661955,0.41463414
401,106,0.22084016,0.039561257,0.5849057
402,252,0.26850897,0.0644303,0.41269842
403,217,0.2730263,0.067045346,0.3686636
404,182,0.2694469,0.06765381,0.4010989
405,255,0.39087966,0.16032657,0.15686275
406,173,0.2789882,0.0845846,0.35260117
407,203,0.2742488,0.07505022,0.3546798
408,155,0.3054587,0.12908544,0.16774194
409,205,0.27090076,0.05801119,0.46341464
410,245,0.34189653,0.10194478,0.2734694
411,189,0.24438788,0.04246694,0.5714286
